dirt,stones,S,3
dock,dock,M,4
comb,comb,M,4
kick,tick,O,1
coin,coin,M,4
tub,tub,M,4
duck,duck,M,4
part,tart,O,1
bud,leaf,S,3
pick,puck,V,2
kite,balloon,S,3
bug,bug,M,4
tack,tack,M,4
bead,ring,S,3
cup,cup,M,4
pop,pot,C,1
tape,paperclip,S,3
gun,gum,C,1
king,queen,S,3
peak,peak,M,4
cake,cake,M,4
pot,pot,M,4
barn,barn,M,4
dine,dime,C,1
peg,peg,M,4
peck,peck,M,4
pen,pen,M,4
cob,cub,V,2
boot,sneaker,S,3
gate,gate,M,4
cape,cop,V,2
bean,bean,M,4
beam,bean,C,1
cane,crutch,S,3
bark,meow,S,3
pod,pot,C,1
boot,boot,M,4
cap,cap,M,4
gown,gown,M,4
tap,cap,O,1
bake,bite,V,2
boat,boat,M,4
bone,bone,M,4
bet,pet,O,1
tongue,tongue,M,4
beard,beard,M,4
dip,dip,M,4
can,cane,V,2
date,watch,S,3
pup,pup,M,4
bid,bid,M,4
bit,pit,O,1
buck,duck,O,1
bike,skateboard,S,3
park,park,M,4
pad,pencil,S,3
gang,motorcycle,S,3
dot,dot,M,4
dime,dime,M,4
pet,pet,M,4
bait,boot,V,2
guard,guard,M,4
pin,pin,M,4
bird,bird,M,4
bite,beet,V,2
beak,beak,M,4
cart,cart,M,4
dig,rake,S,3
pat,pan,C,1
bag,bag,M,4
coop,cup,V,2
gong,bell,S,3
back,pack,O,1
bib,bib,M,4
book,newspaper,S,3
palm,palm,M,4
keg,keg,M,4
card,card,M,4
bat,bird,S,3
team,teen,C,1
babe,bib,V,2
bed,bed,M,4
big,pig,O,1
time,time,M,4
pan,pan,M,4
cod,cot,C,1
cone,pyramid,S,3
dart,dart,M,4
cat,cat,M,4
beet,bat,V,2
bad,bag,C,1
type,handwrite,S,3
gum,gum,M,4
beg,peg,O,1
pit,pit,M,4
cop,cog,C,1
den,den,M,4
pig,cow,S,3
calm,palm,O,1
tag,tag,M,4
